tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
SPAC1039.04	-	-	SPAC1039.04	-	-	I:5454582-5456656	-	-	15.9081	14.3133	17.5029	OK
SPAC1039.05c	-	-	SPAC1039.05c	klf1	-	I:5456673-5459789	-	-	16.4894	14.9419	18.0369	OK
SPAC1039.06	-	-	SPAC1039.06	-	-	I:5460197-5462354	-	-	21.1606	19.1426	23.1785	OK
SPAC1039.07c	-	-	SPAC1039.07c	-	-	I:5462117-5463989	-	-	9.94699	8.53577	11.3582	OK
SPAC1039.08	-	-	SPAC1039.08	-	-	I:5463862-5465172	-	-	8.8481	7.24405	10.4521	OK
SPAC1039.09	-	-	SPAC1039.09	isp5	-	I:5465376-5468649	-	-	2.36314	1.86864	2.85764	OK
SPAC1039.10	-	-	SPAC1039.10	mmf2	-	I:5470431-5471520	-	-	1.72071	0.887331	2.55408	OK
SPAC1039.11c	-	-	SPAC1039.11c	gto1	-	I:5471269-5474941	-	-	6.83471	6.00863	7.6608	OK
SPAC105.01c	-	-	SPAC105.01c	kha1	-	I:1740312-1743699	-	-	21.2179	19.7412	22.6946	OK
SPAC105.02c	-	-	SPAC105.02c	-	-	I:1744018-1745658	-	-	152.496	146.056	158.936	OK
SPAC105.03c	-	-	SPAC105.03c	-	-	I:1746467-1749242	-	-	37.4821	34.867	40.0973	OK
SPAC1071.01c	-	-	SPAC1071.01c	pta1	-	I:3855384-3857994	-	-	49.7142	47.2221	52.2062	OK
SPAC1071.02	-	-	SPAC1071.02	mms19	-	I:3858240-3861822	-	-	50.3951	47.369	53.4212	OK
SPAC1071.03c	-	-	SPAC1071.03c	sil1	-	I:3860906-3862735	-	-	55.3729	51.422	59.3238	OK
SPAC1071.04c	-	-	SPAC1071.04c	spc2	-	I:3863000-3863504	-	-	43.4162	36.7631	50.0693	OK
SPAC1071.05	-	-	SPAC1071.05	-	-	I:3864466-3866158	-	-	99.6884	93.5779	105.799	OK
SPAC1071.06	-	-	SPAC1071.06	arp9	-	I:3866535-3868410	-	-	64.0027	59.684	68.3215	OK
SPAC1071.07c	-	-	SPAC1071.07c	rps1502	-	I:3868309-3869076	-	-	824.481	784.462	864.5	OK
SPAC1071.08	-	-	SPAC1071.08	rpp203	-	I:3869081-3869610	-	-	2428.28	2313.34	2543.23	OK
SPAC1071.09c	-	-	SPAC1071.09c	-	-	I:3869016-3871602	-	-	30.8193	28.4607	33.1779	OK
SPAC1071.10c	-	-	SPAC1071.10c	pma1	-	I:3871641-3876176	-	-	1259.58	1206.8	1312.36	OK
SPAC1071.11	-	-	SPAC1071.11	-	-	I:3882009-3884256	-	-	18.2574	16.4412	20.0736	OK
SPAC1071.12c	-	-	SPAC1071.12c	stp1	-	I:3883444-3884346	-	-	34.8616	30.7034	39.0198	OK
SPAC1071.13	-	-	SPAC1071.13	-	-	I:3878006-3881812	-	-	10.1672	9.12267	11.2118	OK
SPAC1093.01	-	-	SPAC1093.01	ppr5	-	I:4606298-4611737	-	-	38.0802	35.9155	40.245	OK
SPAC1093.02	-	-	SPAC1093.02	-	-	I:4612098-4613297	-	-	200.276	192.522	208.031	OK
SPAC1093.03	-	-	SPAC1093.03	-	-	I:4613442-4617157	-	-	29.7272	27.6661	31.7883	OK
SPAC1093.04c	-	-	SPAC1093.04c	-	-	I:4613714-4618620	-	-	24.1727	22.5458	25.7996	OK
SPAC1093.05	-	-	SPAC1093.05	-	-	I:4619602-4622351	-	-	100.17	94.7783	105.562	OK
SPAC1093.06c	-	-	SPAC1093.06c	dhc1	-	I:4622165-4635111	-	-	17.7216	16.7426	18.7007	OK
SPAC1093.07	-	-	SPAC1093.07	-	-	I:4604879-4606871	-	-	5.64323	4.63304	6.65341	OK
SPAC10F6.01c	-	-	SPAC10F6.01c	sir1	-	I:1200915-1206090	-	-	317.978	313.557	322.399	OK
SPAC10F6.02c	-	-	SPAC10F6.02c	prp22	-	I:1206811-1210630	-	-	46.56	43.7894	49.3306	OK
SPAC10F6.03c	-	-	SPAC10F6.03c	cts1	-	I:1211194-1213553	-	-	329.424	314.048	344.8	OK
SPAC10F6.04	-	-	SPAC10F6.04	-	-	I:1213254-1216120	-	-	16.4772	14.9331	18.0214	OK
SPAC10F6.05c	-	-	SPAC10F6.05c	ubc6	-	I:1214787-1217067	-	-	18.0357	16.1993	19.8722	OK
SPAC10F6.06	-	-	SPAC10F6.06	vip1	-	I:1217076-1218228	-	-	255.647	246.671	264.623	OK
SPAC10F6.07c	-	-	SPAC10F6.07c	mug94	-	I:1218320-1218887	-	-	28.5248	23.6859	33.3637	OK
SPAC10F6.08c	-	-	SPAC10F6.08c	-	-	I:1219666-1220847	-	-	93.5575	86.6576	100.457	OK
SPAC10F6.09c	-	-	SPAC10F6.09c	psm3	-	I:1220968-1224862	-	-	50.3139	47.3959	53.232	OK
SPAC10F6.10	-	-	SPAC10F6.10	rio1	-	I:1225463-1227365	-	-	86.6476	81.1465	92.1486	OK
SPAC10F6.11c	-	-	SPAC10F6.11c	atg17	-	I:1226089-1228894	-	-	17.246	15.6549	18.837	OK
SPAC10F6.12c	-	-	SPAC10F6.12c	mam4	-	I:1229094-1230361	-	-	37.8058	34.513	41.0986	OK
SPAC10F6.13c	-	-	SPAC10F6.13c	-	-	I:1230639-1232155	-	-	189.245	179.004	199.486	OK
SPAC10F6.14c	-	-	SPAC10F6.14c	-	-	I:1232261-1234076	-	-	62.1163	57.8353	66.3973	OK
SPAC10F6.15	-	-	SPAC10F6.15	-	-	I:1235600-1237035	-	-	1.57801	0.946835	2.20918	OK
SPAC10F6.16	-	-	SPAC10F6.16	mug134	-	I:1238895-1240185	-	-	168.183	158.155	178.212	OK
SPAC10F6.17c	-	-	SPAC10F6.17c	-	-	I:1239970-1241970	-	-	38.8274	35.8012	41.8536	OK
SPAC110.01	-	-	SPAC110.01	ppk1	-	I:1905754-1911747	-	-	36.624	34.5718	38.6762	OK
SPAC110.02	-	-	SPAC110.02	pds5	-	I:1911835-1915897	-	-	21.3007	19.7333	22.8682	OK
SPAC110.03	-	-	SPAC110.03	cdc42	-	I:1916053-1917656	-	-	123.668	116.855	130.481	OK
SPAC110.04c	-	-	SPAC110.04c	pss1	-	I:1917766-1920867	-	-	720.534	711.138	729.929	OK
SPAC110.05	-	-	SPAC110.05	-	-	I:1904195-1906153	-	-	3.41029	2.61438	4.2062	OK
SPAC1142.01	-	-	SPAC1142.01	rqc1	-	I:3625311-3627664	-	-	61.0952	57.1944	64.996	OK
SPAC1142.02c	-	-	SPAC1142.02c	-	-	I:3627674-3629022	-	-	138.006	129.507	146.505	OK
SPAC1142.03c	-	-	SPAC1142.03c	swi2	-	I:3629014-3631504	-	-	34.4345	31.8629	37.0061	OK
SPAC1142.04	-	-	SPAC1142.04	-	-	I:3631498-3633874	-	-	132.366	125.41	139.321	OK
SPAC1142.05	-	-	SPAC1142.05	ctr5	-	I:3635292-3636572	-	-	50.6095	46.2852	54.9339	OK
SPAC1142.06	-	-	SPAC1142.06	get3	-	I:3636684-3638390	-	-	210.307	203.82	216.794	OK
SPAC1142.07c	-	-	SPAC1142.07c	vps32	-	I:3638556-3639824	-	-	67.9526	62.4908	73.4145	OK
SPAC1142.08	-	-	SPAC1142.08	fhl1	-	I:3639859-3642338	-	-	30.4606	28.0802	32.841	OK
SPAC1142.09	-	-	SPAC1142.09	-	-	I:3642497-3642845	-	-	1.53329	0	3.30379	OK
SPAC11D3.01c	-	-	SPAC11D3.01c	-	-	I:108731-109195	-	-	33.4665	27.2785	39.6545	OK
SPAC11D3.02c	-	-	SPAC11D3.02c	-	-	I:109828-110455	-	-	345.901	324.636	367.166	OK
SPAC11D3.03c	-	-	SPAC11D3.03c	-	-	I:110903-112499	-	-	2.53474	1.75331	3.31618	OK
SPAC11D3.04c	-	-	SPAC11D3.04c	-	-	I:112513-114445	-	-	15.5232	13.7167	17.3298	OK
SPAC11D3.05	-	-	SPAC11D3.05	mfs2	-	I:113949-115962	-	-	13.7585	12.1329	15.3841	OK
SPAC11D3.06	-	-	SPAC11D3.06	-	-	I:116330-118189	-	-	9.12189	7.77017	10.4736	OK
SPAC11D3.07c	-	-	SPAC11D3.07c	toe4	-	I:116053-120309	-	-	14.1729	12.9855	15.3603	OK
SPAC11D3.08c	-	-	SPAC11D3.08c	-	-	I:120320-123785	-	-	15.9354	14.5482	17.3225	OK
SPAC11D3.09	-	-	SPAC11D3.09	-	-	I:122186-124116	-	-	2.51151	1.82568	3.19734	OK
SPAC11D3.10	-	-	SPAC11D3.10	-	-	I:124906-129053	-	-	4.32385	3.71818	4.92952	OK
SPAC11D3.11c	-	-	SPAC11D3.11c	-	-	I:126950-129316	-	-	14.4817	12.9049	16.0586	OK
SPAC11D3.13	-	-	SPAC11D3.13	hsp3104	-	I:130147-131268	-	-	34.9381	31.2381	38.638	OK
SPAC11D3.14c	-	-	SPAC11D3.14c	-	-	I:131189-135736	-	-	12.0872	11.0393	13.1351	OK
SPAC11D3.15	-	-	SPAC11D3.15	-	-	I:136138-140365	-	-	24.3679	22.677	26.0589	OK
SPAC11D3.16c	-	-	SPAC11D3.16c	-	-	I:140380-141653	-	-	23.9679	21.1728	26.763	OK
SPAC11D3.17	-	-	SPAC11D3.17	-	-	I:141198-144768	-	-	8.13509	7.20705	9.06313	OK
SPAC11D3.18c	-	-	SPAC11D3.18c	-	-	I:144818-146935	-	-	4.31447	3.45395	5.17499	OK
SPAC11D3.19	-	-	SPAC11D3.19	-	-	I:106892-108361	-	-	4.48882	3.45292	5.52471	OK
SPAC11E3.01c	-	-	SPAC11E3.01c	swr1	-	I:5277394-5281420	-	-	43.57	41.7234	45.4165	OK
SPAC11E3.02c	-	-	SPAC11E3.02c	-	-	I:5281777-5285905	-	-	26.3199	24.8864	27.7535	OK
SPAC11E3.03	-	-	SPAC11E3.03	csm1	-	I:5286052-5287290	-	-	23.9738	20.9481	26.9995	OK
SPAC11E3.04c	-	-	SPAC11E3.04c	ubc13	-	I:5287179-5288137	-	-	121.433	111.504	131.361	OK
SPAC11E3.05	-	-	SPAC11E3.05	sea3	-	I:5288244-5292558	-	-	19.0491	17.6235	20.4748	OK
SPAC11E3.06	-	-	SPAC11E3.06	map1	-	I:5292647-5294751	-	-	4.34766	3.40104	5.29429	OK
SPAC11E3.07	-	-	SPAC11E3.07	vma4	-	I:5294960-5296384	-	-	150.832	142.092	159.572	OK
SPAC11E3.08c	-	-	SPAC11E3.08c	nse6	-	I:5296048-5297794	-	-	18.0286	15.9977	20.0594	OK
SPAC11E3.09	-	-	SPAC11E3.09	pyp3	-	I:5298655-5300189	-	-	36.4718	33.4518	39.4917	OK
SPAC11E3.10	-	-	SPAC11E3.10	-	-	I:5300669-5301956	-	-	67.1913	61.8453	72.5373	OK
SPAC11E3.11c	-	-	SPAC11E3.11c	syt22	-	I:5302219-5305725	-	-	44.269	41.5442	46.9939	OK
SPAC11E3.12	-	-	SPAC11E3.12	-	-	I:5305695-5308686	-	-	15.5884	14.0978	17.079	OK
SPAC11E3.13c	-	-	SPAC11E3.13c	gas5	-	I:5306741-5309063	-	-	69.9514	65.6624	74.2404	OK
SPAC11E3.14	-	-	SPAC11E3.14	-	-	I:5311343-5314362	-	-	25.3111	23.3529	27.2693	OK
SPAC11E3.15	-	-	SPAC11E3.15	rpl22	-	I:5314777-5315429	-	-	4804.88	4739.91	4869.85	OK
SPAC11G7.01	-	-	SPAC11G7.01	-	-	I:3959726-3962914	-	-	45.4765	43.3416	47.6114	OK
SPAC11G7.02	-	-	SPAC11G7.02	pub1	-	I:3963057-3966172	-	-	132.341	128.479	136.202	OK
SPAC11G7.03	-	-	SPAC11G7.03	idh1	-	I:3966739-3968132	-	-	87.2133	82.4963	91.9304	OK
SPAC11G7.04	-	-	SPAC11G7.04	ubi1	-	I:3968931-3969558	-	-	1165.19	1109.1	1221.28	OK
SPAC11G7.05c	-	-	SPAC11G7.05c	-	-	I:3969365-3971294	-	-	12.9981	11.3886	14.6076	OK
SPAC11G7.06c	-	-	SPAC11G7.06c	mug132	-	I:3971563-3974699	-	-	7.34402	6.41756	8.27048	OK
SPAC11H11.01	-	-	SPAC11H11.01	sst6	-	I:4775687-4777440	-	-	12.0755	10.4341	13.7169	OK
SPAC11H11.02c	-	-	SPAC11H11.02c	mug162	-	I:4775516-4778622	-	-	7.65312	6.67085	8.63539	OK
SPAC11H11.03c	-	-	SPAC11H11.03c	-	-	I:4779019-4780284	-	-	25.7457	22.0135	29.4778	OK
SPAC11H11.04	-	-	SPAC11H11.04	mam2	-	I:4780223-4781922	-	-	3.24908	2.41475	4.08342	OK
SPAC11H11.05c	-	-	SPAC11H11.05c	fta6	-	I:4782046-4782273	-	-	375.108	300.595	449.62	OK
SPAC11H11.06	-	-	SPAC11H11.06	arp2	-	I:4783006-4784765	-	-	181.138	175.13	187.147	OK
SPAC1250.01	-	-	SPAC1250.01	snf21	-	I:5100147-5104194	-	-	63.5647	60.1046	67.0248	OK
SPAC1250.02	-	-	SPAC1250.02	mug95	-	I:5099292-5100214	-	-	3.30098	2.03124	4.57072	OK
SPAC1250.03	-	-	SPAC1250.03	ubc14	-	I:5097689-5098816	-	-	39.6039	35.2078	43.9999	OK
SPAC1250.04c	-	-	SPAC1250.04c	atl1	-	I:5096772-5097662	-	-	15.559	12.9568	18.1612	OK
SPAC1250.05	-	-	SPAC1250.05	rpl3002	-	I:5095072-5095925	-	-	234.482	221.29	247.673	OK
SPAC1250.07	-	-	SPAC1250.07	sfc7	-	I:5097849-5098212	-	-	10.8263	4.48409	17.1685	OK
SPAC1296.01c	-	-	SPAC1296.01c	-	-	I:707947-710479	-	-	47.7591	44.3852	51.133	OK
SPAC1296.02	-	-	SPAC1296.02	cox4	-	I:711237-712354	-	-	277.55	260.745	294.355	OK
SPAC1296.03c	-	-	SPAC1296.03c	sxa2	-	I:712216-714070	-	-	8.01714	6.75538	9.27891	OK
SPAC1296.04	-	-	SPAC1296.04	mug65	-	I:715376-716978	-	-	19.3618	16.8037	21.9198	OK
SPAC1296.05c	-	-	SPAC1296.05c	lcp1	-	I:716873-718168	-	-	32.3244	28.9151	35.7337	OK
SPAC1296.06	-	-	SPAC1296.06	tah18	-	I:719379-721549	-	-	15.5691	13.8029	17.3354	OK
SPAC12B10.01c	-	-	SPAC12B10.01c	-	-	I:4570304-4575656	-	-	33.2223	31.2611	35.1836	OK
SPAC12B10.02c	-	-	SPAC12B10.02c	-	-	I:4576186-4577002	-	-	107.052	99.748	114.356	OK
SPAC12B10.03	-	-	SPAC12B10.03	bun62	-	I:4578163-4580722	-	-	16.7625	15.1339	18.391	OK
SPAC12B10.04	-	-	SPAC12B10.04	pby1	-	I:4580655-4582281	-	-	52.9319	48.8	57.0638	OK
SPAC12B10.05	-	-	SPAC12B10.05	icp55	-	I:4582298-4584511	-	-	35.4646	32.4171	38.5121	OK
SPAC12B10.06c	-	-	SPAC12B10.06c	emi5	-	I:4584472-4585226	-	-	153.378	141.778	164.977	OK
SPAC12B10.07	-	-	SPAC12B10.07	acp1	-	I:4584464-4586536	-	-	45.7455	42.3539	49.1371	OK
SPAC12B10.08c	-	-	SPAC12B10.08c	-	-	I:4586308-4588764	-	-	5.49852	4.58571	6.41134	OK
SPAC12B10.09	-	-	SPAC12B10.09	pet801	-	I:4588249-4589793	-	-	25.9631	23.0177	28.9085	OK
SPAC12B10.10	-	-	SPAC12B10.10	nod1	-	I:4590151-4591524	-	-	26.6494	24.0393	29.2595	OK
SPAC12B10.11	-	-	SPAC12B10.11	exg2	-	I:4591854-4593567	-	-	18.1253	16.0691	20.1815	OK
SPAC12B10.12c	-	-	SPAC12B10.12c	rhp41	-	I:4593599-4596120	-	-	21.8105	20.1186	23.5024	OK
SPAC12B10.13	-	-	SPAC12B10.13	-	-	I:4596233-4597380	-	-	34.0705	30.5692	37.5718	OK
SPAC12B10.14c	-	-	SPAC12B10.14c	tea5	-	I:4597465-4599622	-	-	26.4664	24.4051	28.5277	OK
SPAC12B10.15c	-	-	SPAC12B10.15c	-	-	I:4600262-4600817	-	-	24.6152	19.8703	29.3602	OK
SPAC12B10.16c	-	-	SPAC12B10.16c	mug157	-	I:4601277-4603478	-	-	36.6779	34.201	39.1547	OK
SPAC12G12.01c	-	-	SPAC12G12.01c	-	-	I:346794-350151	-	-	36.6612	34.2457	39.0767	OK
SPAC12G12.02	-	-	SPAC12G12.02	efg1	-	I:345233-347735	-	-	76.9468	72.3201	81.5736	OK
SPAC12G12.03	-	-	SPAC12G12.03	cip2	-	I:342089-345182	-	-	95.5209	92.3694	98.6724	OK
SPAC12G12.04	-	-	SPAC12G12.04	mcp60	-	I:339765-342080	-	-	395.214	377.252	413.177	OK
SPAC12G12.05c	-	-	SPAC12G12.05c	taf9	-	I:338285-339763	-	-	61.8135	57.1987	66.4284	OK
SPAC12G12.06c	-	-	SPAC12G12.06c	-	-	I:336307-338157	-	-	97.8014	93.5869	102.016	OK
SPAC12G12.07c	-	-	SPAC12G12.07c	-	-	I:334614-336131	-	-	184.427	174.315	194.54	OK
SPAC12G12.08	-	-	SPAC12G12.08	mrpl6	-	I:333177-334621	-	-	35.8504	32.5326	39.1681	OK
SPAC12G12.09	-	-	SPAC12G12.09	-	-	I:329809-332816	-	-	20.4048	18.9187	21.891	OK
SPAC12G12.10	-	-	SPAC12G12.10	wdr21	-	I:328195-329545	-	-	50.7165	47.0603	54.3728	OK
SPAC12G12.11c	-	-	SPAC12G12.11c	-	-	I:326439-328122	-	-	50.4106	46.9507	53.8705	OK
SPAC12G12.12	-	-	SPAC12G12.12	-	-	I:324041-325517	-	-	30.72	27.6073	33.8328	OK
SPAC12G12.13c	-	-	SPAC12G12.13c	cid14	-	I:321763-324129	-	-	89.7562	84.6213	94.8912	OK
SPAC12G12.14c	-	-	SPAC12G12.14c	pfs2	-	I:319814-321825	-	-	34.4159	31.6179	37.214	OK
SPAC12G12.15	-	-	SPAC12G12.15	sif3	-	I:316995-319185	-	-	33.2288	30.5394	35.9181	OK
SPAC12G12.16c	-	-	SPAC12G12.16c	-	-	I:315393-317585	-	-	9.73827	8.45107	11.0255	OK
SPAC12G12.17	-	-	SPAC12G12.17	-	-	I:332837-333578	-	-	41.889	36.4771	47.3009	OK
SPAC1327.01c	-	-	SPAC1327.01c	-	-	I:2204822-2208418	-	-	31.1254	29.4587	32.7921	OK
SPAC139.01c	-	-	SPAC139.01c	-	-	I:1016102-1019031	-	-	57.2679	53.7696	60.7662	OK
SPAC139.02c	-	-	SPAC139.02c	oac1	-	I:1019247-1020838	-	-	151.332	142.834	159.829	OK
SPAC139.03	-	-	SPAC139.03	toe2	-	I:1021694-1024135	-	-	19.2685	17.4361	21.101	OK
SPAC139.04c	-	-	SPAC139.04c	fap2	-	I:1024001-1025903	-	-	22.4918	20.277	24.7066	OK
SPAC139.05	-	-	SPAC139.05	-	-	I:1027810-1029993	-	-	1.73744	1.21407	2.2608	OK
SPAC139.06	-	-	SPAC139.06	hat1	-	I:1030124-1031941	-	-	61.5279	56.9413	66.1145	OK
SPAC1399.01c	-	-	SPAC1399.01c	-	-	I:1851494-1854651	-	-	5.34227	4.59729	6.08725	OK
SPAC1399.02	-	-	SPAC1399.02	-	-	I:1845647-1848341	-	-	31.1497	28.8109	33.4885	OK
SPAC1399.03	-	-	SPAC1399.03	fur4	-	I:1841907-1843995	-	-	35.7457	33.3325	38.1589	OK
SPAC1399.04c	-	-	SPAC1399.04c	-	-	I:1840620-1841283	-	-	21.1166	17.4125	24.8207	OK
SPAC1399.05c	-	-	SPAC1399.05c	toe1	-	I:1838514-1840293	-	-	15.8372	13.9031	17.7713	OK
SPAC1399.06	-	-	SPAC1399.06	-	-	I:1848337-1850881	-	-	4.08924	3.33865	4.83983	OK
SPAC13A11.01c	-	-	SPAC13A11.01c	rga8	-	I:570752-574417	-	-	38.2064	35.7784	40.6345	OK
SPAC13A11.02c	-	-	SPAC13A11.02c	erg11	-	I:574651-577171	-	-	272.362	266.32	278.404	OK
SPAC13A11.03	-	-	SPAC13A11.03	mcp7	-	I:578391-579948	-	-	56.496	52.1238	60.8682	OK
SPAC13A11.04c	-	-	SPAC13A11.04c	ubp8	-	I:579352-581553	-	-	23.857	21.552	26.1621	OK
SPAC13A11.05	-	-	SPAC13A11.05	ysp2	-	I:582272-584402	-	-	87.5529	83.8662	91.2395	OK
SPAC13A11.06	-	-	SPAC13A11.06	-	-	I:585354-587495	-	-	2.31532	1.70206	2.92858	OK
SPAC13C5.01c	-	-	SPAC13C5.01c	-	-	I:423925-425256	-	-	212.181	200.608	223.754	OK
SPAC13C5.02	-	-	SPAC13C5.02	dre4	-	I:425630-427415	-	-	48.5443	44.8221	52.2665	OK
SPAC13C5.03	-	-	SPAC13C5.03	tht1	-	I:427349-430121	-	-	9.80196	8.62688	10.977	OK
SPAC13C5.04	-	-	SPAC13C5.04	-	-	I:430055-431032	-	-	26.0709	22.6863	29.4554	OK
SPAC13C5.05c	-	-	SPAC13C5.05c	-	-	I:431366-433274	-	-	41.0834	38.3029	43.8638	OK
SPAC13C5.06c	-	-	SPAC13C5.06c	mug121	-	I:434101-435179	-	-	22.1769	19.1769	25.1768	OK
SPAC13C5.07	-	-	SPAC13C5.07	mre11	-	I:435169-439980	-	-	27.9933	26.1839	29.8027	OK
SPAC13D1.01c	-	-	SPAC13D1.01c	Tf2-7	-	I:5191059-5195702	-	-	12.8486	11.911	13.7862	OK
SPAC13D6.01	-	-	SPAC13D6.01	pof14	-	I:2245496-2247128	-	-	9.26218	7.80447	10.7199	OK
SPAC13D6.02c	-	-	SPAC13D6.02c	byr3	-	I:2247228-2248535	-	-	386.852	367.843	405.861	OK
SPAC13D6.03c	-	-	SPAC13D6.03c	trm9	-	I:2249891-2251382	-	-	47.1333	43.7437	50.5229	OK
SPAC13D6.04c	-	-	SPAC13D6.04c	btb3	-	I:2251441-2253385	-	-	24.2819	21.9217	26.6422	OK
SPAC13D6.05	-	-	SPAC13D6.05	alp11	-	I:2253358-2254440	-	-	79.0983	72.9252	85.2715	OK
SPAC13F5.01c	-	-	SPAC13F5.01c	msh1	-	I:2169035-2172310	-	-	22.3224	20.811	23.8338	OK
SPAC13F5.02c	-	-	SPAC13F5.02c	ptr6	-	I:2172409-2173796	-	-	65.1547	60.9888	69.3206	OK
SPAC13F5.03c	-	-	SPAC13F5.03c	gld1	-	I:2174640-2177050	-	-	5.25239	4.37135	6.13344	OK
SPAC13F5.04c	-	-	SPAC13F5.04c	vta1	-	I:2176987-2179661	-	-	11.2604	9.77901	12.7417	OK
SPAC13F5.05	-	-	SPAC13F5.05	-	-	I:2179174-2181507	-	-	16.7831	15.0847	18.4816	OK
SPAC13F5.06c	-	-	SPAC13F5.06c	sec10	-	I:2181449-2184521	-	-	20.4734	18.6789	22.2679	OK
SPAC13F5.07c	-	-	SPAC13F5.07c	-	-	I:2184653-2185990	-	-	2.45257	1.5436	3.36153	OK
SPAC13G6.01c	-	-	SPAC13G6.01c	rad8	-	I:170488-174701	-	-	50.5101	47.6496	53.3707	OK
SPAC13G6.02c	-	-	SPAC13G6.02c	rps101	-	I:174864-176655	-	-	502.296	479.373	525.219	OK
SPAC13G6.03	-	-	SPAC13G6.03	gpi7	-	I:175889-180028	-	-	17.3686	16.0046	18.7325	OK
SPAC13G6.04	-	-	SPAC13G6.04	tim8	-	I:180271-181069	-	-	168.176	154.512	181.839	OK
SPAC13G6.05c	-	-	SPAC13G6.05c	trs33	-	I:180902-182254	-	-	32.853	29.0447	36.6613	OK
SPAC13G6.06c	-	-	SPAC13G6.06c	gcv2	-	I:182336-186358	-	-	76.4791	72.4719	80.4863	OK
